strain	divergence	excess divergence	#Ns	#gaps	clusters	gaps	all_snps
India/GBRC97b/2020	15	3.97	11	0			240,312,874,3036,5699,11082,13616,14407,17134,19085,23402,27915,28880,28881,28882
India/GBRC97a/2020	14	2.97	11	0			240,312,874,3036,5699,11082,13616,14407,17134,19085,23402,28880,28881,28882
USA/VA-DCLS-0110/2020	14	5.64	0	0			240,1058,3036,5805,9942,11915,13200,13251,14407,20751,23402,23603,25562,29357
USA/VA-DCLS-0120/2020	13	4.64	0	0			240,3036,9171,10817,10947,14407,21574,21997,23402,26729,28880,28881,28882
USA/VA-DCLS-0115/2020	12	3.64	346	0			240,3036,9171,10947,14407,21574,21997,23402,26729,28880,28881,28882
USA/UNC_200181/2020	12	3.64	0	0			489,3176,8781,15959,18735,19683,24033,26728,27634,28076,28143,29699
India/GBRC72b/2020	11	0.73	11	0			240,2835,3036,14407,16077,18876,22443,23402,25562,26734,28853
India/GBRC8/2020	11	1.21	11	0			240,2835,3036,14407,16077,18876,22443,23402,25562,26734,28853
USA/WA-UW-2141/2020	11	3.12	26	0			1597,6309,7266,8781,17746,17857,18059,18801,27326,28143,28377
India/GBRC85/2020	11	0.32	11	0			240,3036,14407,16077,18876,22443,23310,23402,25562,26734,28853
Greece/209_33926/2020	11	3.88	42	0			240,3036,4001,10096,13535,14407,23402,23730,28880,28881,28882
USA/AK178/2020	11	2.16	0	0			240,1058,3036,11082,14407,16456,22200,23402,25522,25562,27868
USA/ID-UW-4254/2020	11	2.78	0	0			240,832,1058,3036,6194,14407,15719,21640,23402,25562,27963
Australia/VIC73/2020	11	3.88	2	0			489,3176,8781,18735,19683,24033,26728,27634,28076,28143,29699
Australia/VIC27/2020	11	4.15	3	0			489,3176,8781,18735,19683,24033,26728,27634,28076,28143,29699
Australia/VIC1208/2020	11	2.64	202	0			240,1058,3036,14407,16328,18638,23402,23535,25562,25730,29624
USA/UT-00291/2020	11	3.53	521	0			240,1058,3036,14407,22467,23402,23592,25249,25562,27963,29352
Australia/VIC330/2020	11	3.6	445	0			489,3176,8781,18735,19683,24033,26728,27634,28076,28143,29699
Australia/VIC17/2020	11	4.36	12	0			489,3176,8781,18735,19683,24033,26728,27634,28076,28143,29699
France/50001AR/2020	10	3.77	0	0			240,1058,3036,14407,14924,16044,23402,23588,25046,25562
France/10045DZ/2020	10	3.77	0	0			240,2415,3036,11082,14321,14407,23402,25562,26037,28253
